reference,gene,annotation,Strain,Genomospecies,Clade
1500E_00141,ppc,Phosphoenolpyruvate carboxylase,1500E,GS10,C3
1500E_00188,pgi,Glucose-6-phosphate isomerase,1500E,GS10,C3
1500E_00190,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,1500E,GS10,C3
1500E_00205,rpsB,30S ribosomal protein S2,1500E,GS10,C3
1500E_00208,frr,Ribosome-recycling factor,1500E,GS10,C3
1500E_00297,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,1500E,GS10,C3
1500E_00308,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",1500E,GS10,C3
1500E_00312,efp,Elongation factor P,1500E,GS10,C3
1500E_00324,pgk,Phosphoglycerate kinase,1500E,GS10,C3
1500E_00331,tal,Transaldolase,1500E,GS10,C3
1500E_00332,tkt,Transketolase,1500E,GS10,C3
1500E_00346,pflB,Formate acetyltransferase 1,1500E,GS10,C3
1500E_00369,rpsT,30S ribosomal protein S20,1500E,GS10,C3
1500E_00405,guaB,Inosine-5'-monophosphate dehydrogenase,1500E,GS10,C3
1500E_00410,rpmE,50S ribosomal protein L31,1500E,GS10,C3
1500E_00417,rplS,50S ribosomal protein L19,1500E,GS10,C3
1500E_00442,serS,Serine--tRNA ligase,1500E,GS10,C3
1500E_00450,fusA,Elongation factor G,1500E,GS10,C3
1500E_00451,rpsG,30S ribosomal protein S7,1500E,GS10,C3
1500E_00477,nrdD,Anaerobic ribonucleoside-triphosphate reductase,1500E,GS10,C3
1500E_00502,groS,10 kDa chaperonin,1500E,GS10,C3
1500E_00513,hup,DNA-binding protein HB1,1500E,GS10,C3
1500E_00525,groL1,60 kDa chaperonin 1,1500E,GS10,C3
1500E_00544,der,GTPase Der,1500E,GS10,C3
1500E_00554,ppgK,Polyphosphate glucokinase,1500E,GS10,C3
1500E_00571,pyk,Pyruvate kinase,1500E,GS10,C3
1500E_00592,guaA,GMP synthase [glutamine-hydrolyzing],1500E,GS10,C3
1500E_00607,ychF,Ribosome-binding ATPase YchF,1500E,GS10,C3
1500E_00619,eno,Enolase,1500E,GS10,C3
1500E_00673,ldh2,L-lactate dehydrogenase 2,1500E,GS10,C3
1500E_00774,rplA,50S ribosomal protein L1,1500E,GS10,C3
1500E_00775,rplK,50S ribosomal protein L11,1500E,GS10,C3
1500E_00800,rplT,50S ribosomal protein L20,1500E,GS10,C3
1500E_00801,rpmI,50S ribosomal protein L35,1500E,GS10,C3
1500E_00805,gap,Glyceraldehyde-3-phosphate dehydrogenase,1500E,GS10,C3
1500E_00822,glyQS,Glycine--tRNA ligase,1500E,GS10,C3
1500E_00872,lysS1,Lysine--tRNA ligase 1,1500E,GS10,C3
1500E_00887,pyrG,CTP synthase,1500E,GS10,C3
1500E_00929,rpoB,DNA-directed RNA polymerase subunit beta,1500E,GS10,C3
1500E_00941,pgm,Phosphoglucomutase,1500E,GS10,C3
1500E_00943,rpiA,Ribose-5-phosphate isomerase A,1500E,GS10,C3
1500E_00957,rpoA,DNA-directed RNA polymerase subunit alpha,1500E,GS10,C3
1500E_00959,rpsM,30S ribosomal protein S13,1500E,GS10,C3
1500E_00960,infA,Translation initiation factor IF-1,1500E,GS10,C3
1500E_00968,rpsH,30S ribosomal protein S8,1500E,GS10,C3
1500E_00974,rpmC,50S ribosomal protein L29,1500E,GS10,C3
1500E_00975,rplP,50S ribosomal protein L16,1500E,GS10,C3
1500E_00980,rplW,50S ribosomal protein L23,1500E,GS10,C3
1500E_00982,rplC,50S ribosomal protein L3,1500E,GS10,C3
1500E_00994,rplU,50S ribosomal protein L21,1500E,GS10,C3
1500E_01016,lepA,Elongation factor 4,1500E,GS10,C3
1500E_01031,thrS,Threonine--tRNA ligase,1500E,GS10,C3
1500E_01033,group_2483,putative transcriptional regulatory protein,1500E,GS10,C3
1500E_01100,dapL,LL-diaminopimelate aminotransferase,1500E,GS10,C3
1500E_01123,prfB,Peptide chain release factor 2,1500E,GS10,C3
1500E_01129,map,Methionine aminopeptidase 1,1500E,GS10,C3
1500E_01141,rplJ,50S ribosomal protein L10,1500E,GS10,C3
1500E_01143,pstB1,Phosphate import ATP-binding protein PstB 1,1500E,GS10,C3
1500E_01156,rpsO,30S ribosomal protein S15,1500E,GS10,C3
1500E_01182,valS,Valine--tRNA ligase,1500E,GS10,C3
1500E_01187,ppa,Inorganic pyrophosphatase,1500E,GS10,C3
1500E_01192,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",1500E,GS10,C3
1500E_01196,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,1500E,GS10,C3
409-05_00018,ppc,Phosphoenolpyruvate carboxylase,409-05,GS6,C4
409-05_00081,upp,Uracil phosphoribosyltransferase,409-05,GS6,C4
409-05_00104,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,409-05,GS6,C4
409-05_00105,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,409-05,GS6,C4
409-05_00106,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,409-05,GS6,C4
409-05_00146,atpA,ATP synthase subunit alpha,409-05,GS6,C4
409-05_00147,atpG,ATP synthase gamma chain,409-05,GS6,C4
409-05_00148,atpD_2,ATP synthase subunit beta,409-05,GS6,C4
409-05_00176,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,409-05,GS6,C4
409-05_00180,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",409-05,GS6,C4
409-05_00186,ppa,Inorganic pyrophosphatase,409-05,GS6,C4
409-05_00191,valS,Valine--tRNA ligase,409-05,GS6,C4
409-05_00209,rpsO,30S ribosomal protein S15,409-05,GS6,C4
409-05_00221,pstB1,Phosphate import ATP-binding protein PstB 1,409-05,GS6,C4
409-05_00223,rplJ,50S ribosomal protein L10,409-05,GS6,C4
409-05_00230,groS,10 kDa chaperonin,409-05,GS6,C4
409-05_00251,rplC,50S ribosomal protein L3,409-05,GS6,C4
409-05_00253,rplW,50S ribosomal protein L23,409-05,GS6,C4
409-05_00258,rplP,50S ribosomal protein L16,409-05,GS6,C4
409-05_00259,rpmC,50S ribosomal protein L29,409-05,GS6,C4
409-05_00265,rpsH,30S ribosomal protein S8,409-05,GS6,C4
409-05_00273,infA,Translation initiation factor IF-1,409-05,GS6,C4
409-05_00274,rpsM,30S ribosomal protein S13,409-05,GS6,C4
409-05_00276,rpoA,DNA-directed RNA polymerase subunit alpha,409-05,GS6,C4
409-05_00293,rpiA,Ribose-5-phosphate isomerase A,409-05,GS6,C4
409-05_00295,pgm,Phosphoglucomutase,409-05,GS6,C4
409-05_00337,pgi,Glucose-6-phosphate isomerase,409-05,GS6,C4
409-05_00341,rplS,50S ribosomal protein L19,409-05,GS6,C4
409-05_00350,serS,Serine--tRNA ligase,409-05,GS6,C4
409-05_00371,pyrG,CTP synthase,409-05,GS6,C4
409-05_00382,lysS1,Lysine--tRNA ligase 1,409-05,GS6,C4
409-05_00435,glyQS,Glycine--tRNA ligase,409-05,GS6,C4
409-05_00452,gap,Glyceraldehyde-3-phosphate dehydrogenase,409-05,GS6,C4
409-05_00456,rpmI,50S ribosomal protein L35,409-05,GS6,C4
409-05_00457,rplT,50S ribosomal protein L20,409-05,GS6,C4
409-05_00558,ldh2,L-lactate dehydrogenase 2,409-05,GS6,C4
409-05_00580,pyk,Pyruvate kinase,409-05,GS6,C4
409-05_00600,guaA,GMP synthase [glutamine-hydrolyzing],409-05,GS6,C4
409-05_00620,ychF,Ribosome-binding ATPase YchF,409-05,GS6,C4
409-05_00634,eno,Enolase,409-05,GS6,C4
409-05_00675,hup,DNA-binding protein HB1,409-05,GS6,C4
409-05_00688,groL1,60 kDa chaperonin 1,409-05,GS6,C4
409-05_00780,frr,Ribosome-recycling factor,409-05,GS6,C4
409-05_00783,rpsB,30S ribosomal protein S2,409-05,GS6,C4
409-05_00793,ppgK,Polyphosphate glucokinase,409-05,GS6,C4
409-05_00800,der,GTPase Der,409-05,GS6,C4
409-05_00811,group_2483,putative transcriptional regulatory protein,409-05,GS6,C4
409-05_00813,thrS,Threonine--tRNA ligase,409-05,GS6,C4
409-05_00824,lepA,Elongation factor 4,409-05,GS6,C4
409-05_00825,rpsT,30S ribosomal protein S20,409-05,GS6,C4
409-05_00862,pflB,Formate acetyltransferase 1,409-05,GS6,C4
409-05_00876,tkt,Transketolase,409-05,GS6,C4
409-05_00877,tal,Transaldolase,409-05,GS6,C4
409-05_00882,pgk,Phosphoglycerate kinase,409-05,GS6,C4
409-05_00894,efp,Elongation factor P,409-05,GS6,C4
409-05_00897,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",409-05,GS6,C4
409-05_00911,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,409-05,GS6,C4
409-05_01034,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,409-05,GS6,C4
409-05_01048,prfB,Peptide chain release factor 2,409-05,GS6,C4
409-05_01049,map,Methionine aminopeptidase 1,409-05,GS6,C4
409-05_01059,guaB,Inosine-5'-monophosphate dehydrogenase,409-05,GS6,C4
409-05_01064,rpmE,50S ribosomal protein L31,409-05,GS6,C4
409-05_01071,fusA,Elongation factor G,409-05,GS6,C4
409-05_01072,rpsG,30S ribosomal protein S7,409-05,GS6,C4
409-05_01100,nrdD,Anaerobic ribonucleoside-triphosphate reductase,409-05,GS6,C4
409-05_01139,rpoB,DNA-directed RNA polymerase subunit beta,409-05,GS6,C4
409-05_01177,rplA,50S ribosomal protein L1,409-05,GS6,C4
409-05_01178,rplK,50S ribosomal protein L11,409-05,GS6,C4
409-05_01194,rplU,50S ribosomal protein L21,409-05,GS6,C4
409-05_01277,dapL,LL-diaminopimelate aminotransferase,409-05,GS6,C4
6119V5_00001,rplA,50S ribosomal protein L1,6119V5,GS9,C3
6119V5_00002,rplK,50S ribosomal protein L11,6119V5,GS9,C3
6119V5_00010,rplU,50S ribosomal protein L21,6119V5,GS9,C3
6119V5_00042,rpoB,DNA-directed RNA polymerase subunit beta,6119V5,GS9,C3
6119V5_00054,pgm,Phosphoglucomutase,6119V5,GS9,C3
6119V5_00056,rpiA,Ribose-5-phosphate isomerase A,6119V5,GS9,C3
6119V5_00071,rpoA,DNA-directed RNA polymerase subunit alpha,6119V5,GS9,C3
6119V5_00073,rpsM,30S ribosomal protein S13,6119V5,GS9,C3
6119V5_00074,infA,Translation initiation factor IF-1,6119V5,GS9,C3
6119V5_00082,rpsH,30S ribosomal protein S8,6119V5,GS9,C3
6119V5_00088,rpmC,50S ribosomal protein L29,6119V5,GS9,C3
6119V5_00089,rplP,50S ribosomal protein L16,6119V5,GS9,C3
6119V5_00094,rplW,50S ribosomal protein L23,6119V5,GS9,C3
6119V5_00096,rplC,50S ribosomal protein L3,6119V5,GS9,C3
6119V5_00117,groS,10 kDa chaperonin,6119V5,GS9,C3
6119V5_00125,rplJ,50S ribosomal protein L10,6119V5,GS9,C3
6119V5_00127,pstB1,Phosphate import ATP-binding protein PstB 1,6119V5,GS9,C3
6119V5_00140,rpsO,30S ribosomal protein S15,6119V5,GS9,C3
6119V5_00163,valS,Valine--tRNA ligase,6119V5,GS9,C3
6119V5_00168,ppa,Inorganic pyrophosphatase,6119V5,GS9,C3
6119V5_00173,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",6119V5,GS9,C3
6119V5_00177,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,6119V5,GS9,C3
6119V5_00227,ldh2,L-lactate dehydrogenase 2,6119V5,GS9,C3
6119V5_00249,pyk,Pyruvate kinase,6119V5,GS9,C3
6119V5_00269,guaA,GMP synthase [glutamine-hydrolyzing],6119V5,GS9,C3
6119V5_00286,ychF,Ribosome-binding ATPase YchF,6119V5,GS9,C3
6119V5_00299,eno,Enolase,6119V5,GS9,C3
6119V5_00346,hup,DNA-binding protein HB1,6119V5,GS9,C3
6119V5_00358,groL1,60 kDa chaperonin 1,6119V5,GS9,C3
6119V5_00411,glyQS,Glycine--tRNA ligase,6119V5,GS9,C3
6119V5_00428,gap,Glyceraldehyde-3-phosphate dehydrogenase,6119V5,GS9,C3
6119V5_00432,rpmI,50S ribosomal protein L35,6119V5,GS9,C3
6119V5_00433,rplT,50S ribosomal protein L20,6119V5,GS9,C3
6119V5_00501,atpD_2,ATP synthase subunit beta,6119V5,GS9,C3
6119V5_00502,atpG,ATP synthase gamma chain,6119V5,GS9,C3
6119V5_00503,atpA,ATP synthase subunit alpha,6119V5,GS9,C3
6119V5_00543,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,6119V5,GS9,C3
6119V5_00544,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,6119V5,GS9,C3
6119V5_00545,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,6119V5,GS9,C3
6119V5_00569,upp,Uracil phosphoribosyltransferase,6119V5,GS9,C3
6119V5_00631,ppc,Phosphoenolpyruvate carboxylase,6119V5,GS9,C3
6119V5_00719,nrdD,Anaerobic ribonucleoside-triphosphate reductase,6119V5,GS9,C3
6119V5_00745,rpsG,30S ribosomal protein S7,6119V5,GS9,C3
6119V5_00746,fusA,Elongation factor G,6119V5,GS9,C3
6119V5_00754,serS,Serine--tRNA ligase,6119V5,GS9,C3
6119V5_00779,rplS,50S ribosomal protein L19,6119V5,GS9,C3
6119V5_00787,rpmE,50S ribosomal protein L31,6119V5,GS9,C3
6119V5_00792,guaB,Inosine-5'-monophosphate dehydrogenase,6119V5,GS9,C3
6119V5_00801,map,Methionine aminopeptidase 1,6119V5,GS9,C3
6119V5_00802,prfB,Peptide chain release factor 2,6119V5,GS9,C3
6119V5_00838,pyrG,CTP synthase,6119V5,GS9,C3
6119V5_00851,lysS1,Lysine--tRNA ligase 1,6119V5,GS9,C3
6119V5_00883,dapL,LL-diaminopimelate aminotransferase,6119V5,GS9,C3
6119V5_00973,frr,Ribosome-recycling factor,6119V5,GS9,C3
6119V5_00976,rpsB,30S ribosomal protein S2,6119V5,GS9,C3
6119V5_00986,ppgK,Polyphosphate glucokinase,6119V5,GS9,C3
6119V5_00998,der,GTPase Der,6119V5,GS9,C3
6119V5_01009,group_2483,putative transcriptional regulatory protein,6119V5,GS9,C3
6119V5_01011,thrS,Threonine--tRNA ligase,6119V5,GS9,C3
6119V5_01025,lepA,Elongation factor 4,6119V5,GS9,C3
6119V5_01026,rpsT,30S ribosomal protein S20,6119V5,GS9,C3
6119V5_01049,pflB,Formate acetyltransferase 1,6119V5,GS9,C3
6119V5_01062,tkt,Transketolase,6119V5,GS9,C3
6119V5_01063,tal,Transaldolase,6119V5,GS9,C3
6119V5_01069,pgk,Phosphoglycerate kinase,6119V5,GS9,C3
6119V5_01082,efp,Elongation factor P,6119V5,GS9,C3
6119V5_01087,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",6119V5,GS9,C3
6119V5_01098,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,6119V5,GS9,C3
6119V5_01163,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,6119V5,GS9,C3
6119V5_01165,pgi,Glucose-6-phosphate isomerase,6119V5,GS9,C3
ATCC_14019_00003,atpD_2,ATP synthase subunit beta,ATCC_14019,GS1,C1
ATCC_14019_00004,atpG,ATP synthase gamma chain,ATCC_14019,GS1,C1
ATCC_14019_00005,atpA,ATP synthase subunit alpha,ATCC_14019,GS1,C1
ATCC_14019_00063,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,ATCC_14019,GS1,C1
ATCC_14019_00064,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,ATCC_14019,GS1,C1
ATCC_14019_00065,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,ATCC_14019,GS1,C1
ATCC_14019_00088,upp,Uracil phosphoribosyltransferase,ATCC_14019,GS1,C1
ATCC_14019_00156,ppc,Phosphoenolpyruvate carboxylase,ATCC_14019,GS1,C1
ATCC_14019_00228,dapL,LL-diaminopimelate aminotransferase,ATCC_14019,GS1,C1
ATCC_14019_00315,rplU,50S ribosomal protein L21,ATCC_14019,GS1,C1
ATCC_14019_00330,rpsO,30S ribosomal protein S15,ATCC_14019,GS1,C1
ATCC_14019_00349,pstB1,Phosphate import ATP-binding protein PstB 1,ATCC_14019,GS1,C1
ATCC_14019_00351,rplJ,50S ribosomal protein L10,ATCC_14019,GS1,C1
ATCC_14019_00353,rplK,50S ribosomal protein L11,ATCC_14019,GS1,C1
ATCC_14019_00354,rplA,50S ribosomal protein L1,ATCC_14019,GS1,C1
ATCC_14019_00379,rpiA,Ribose-5-phosphate isomerase A,ATCC_14019,GS1,C1
ATCC_14019_00381,pgm,Phosphoglucomutase,ATCC_14019,GS1,C1
ATCC_14019_00406,serS,Serine--tRNA ligase,ATCC_14019,GS1,C1
ATCC_14019_00413,nrdD,Anaerobic ribonucleoside-triphosphate reductase,ATCC_14019,GS1,C1
ATCC_14019_00467,rpsG,30S ribosomal protein S7,ATCC_14019,GS1,C1
ATCC_14019_00468,fusA,Elongation factor G,ATCC_14019,GS1,C1
ATCC_14019_00502,glyQS,Glycine--tRNA ligase,ATCC_14019,GS1,C1
ATCC_14019_00518,ldh2,L-lactate dehydrogenase 2,ATCC_14019,GS1,C1
ATCC_14019_00527,lysS1,Lysine--tRNA ligase 1,ATCC_14019,GS1,C1
ATCC_14019_00571,guaA,GMP synthase [glutamine-hydrolyzing],ATCC_14019,GS1,C1
ATCC_14019_00627,pflB,Formate acetyltransferase 1,ATCC_14019,GS1,C1
ATCC_14019_00637,hup,DNA-binding protein HB1,ATCC_14019,GS1,C1
ATCC_14019_00649,groL1,60 kDa chaperonin 1,ATCC_14019,GS1,C1
ATCC_14019_00684,thrS,Threonine--tRNA ligase,ATCC_14019,GS1,C1
ATCC_14019_00699,ychF,Ribosome-binding ATPase YchF,ATCC_14019,GS1,C1
ATCC_14019_00712,eno,Enolase,ATCC_14019,GS1,C1
ATCC_14019_00736,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,ATCC_14019,GS1,C1
ATCC_14019_00747,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",ATCC_14019,GS1,C1
ATCC_14019_00750,efp,Elongation factor P,ATCC_14019,GS1,C1
ATCC_14019_00762,pgk,Phosphoglycerate kinase,ATCC_14019,GS1,C1
ATCC_14019_00783,tal,Transaldolase,ATCC_14019,GS1,C1
ATCC_14019_00784,tkt,Transketolase,ATCC_14019,GS1,C1
ATCC_14019_00790,ppgK,Polyphosphate glucokinase,ATCC_14019,GS1,C1
ATCC_14019_00800,rpsB,30S ribosomal protein S2,ATCC_14019,GS1,C1
ATCC_14019_00803,frr,Ribosome-recycling factor,ATCC_14019,GS1,C1
ATCC_14019_00841,der,GTPase Der,ATCC_14019,GS1,C1
ATCC_14019_00852,group_2483,putative transcriptional regulatory protein,ATCC_14019,GS1,C1
ATCC_14019_00885,lepA,Elongation factor 4,ATCC_14019,GS1,C1
ATCC_14019_00886,rpsT,30S ribosomal protein S20,ATCC_14019,GS1,C1
ATCC_14019_00912,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,ATCC_14019,GS1,C1
ATCC_14019_00925,prfB,Peptide chain release factor 2,ATCC_14019,GS1,C1
ATCC_14019_00926,map,Methionine aminopeptidase 1,ATCC_14019,GS1,C1
ATCC_14019_00936,guaB,Inosine-5'-monophosphate dehydrogenase,ATCC_14019,GS1,C1
ATCC_14019_00941,rpmE,50S ribosomal protein L31,ATCC_14019,GS1,C1
ATCC_14019_00972,pyk,Pyruvate kinase,ATCC_14019,GS1,C1
ATCC_14019_01070,pyrG,CTP synthase,ATCC_14019,GS1,C1
ATCC_14019_01141,rplT,50S ribosomal protein L20,ATCC_14019,GS1,C1
ATCC_14019_01142,rpmI,50S ribosomal protein L35,ATCC_14019,GS1,C1
ATCC_14019_01145,gap,Glyceraldehyde-3-phosphate dehydrogenase,ATCC_14019,GS1,C1
ATCC_14019_01183,rpoB,DNA-directed RNA polymerase subunit beta,ATCC_14019,GS1,C1
ATCC_14019_01193,rplS,50S ribosomal protein L19,ATCC_14019,GS1,C1
ATCC_14019_01197,pgi,Glucose-6-phosphate isomerase,ATCC_14019,GS1,C1
ATCC_14019_01235,rpoA,DNA-directed RNA polymerase subunit alpha,ATCC_14019,GS1,C1
ATCC_14019_01237,rpsM,30S ribosomal protein S13,ATCC_14019,GS1,C1
ATCC_14019_01238,infA,Translation initiation factor IF-1,ATCC_14019,GS1,C1
ATCC_14019_01246,rpsH,30S ribosomal protein S8,ATCC_14019,GS1,C1
ATCC_14019_01252,rpmC,50S ribosomal protein L29,ATCC_14019,GS1,C1
ATCC_14019_01253,rplP,50S ribosomal protein L16,ATCC_14019,GS1,C1
ATCC_14019_01258,rplW,50S ribosomal protein L23,ATCC_14019,GS1,C1
ATCC_14019_01260,rplC,50S ribosomal protein L3,ATCC_14019,GS1,C1
ATCC_14019_01280,groS,10 kDa chaperonin,ATCC_14019,GS1,C1
ATCC_14019_01300,valS,Valine--tRNA ligase,ATCC_14019,GS1,C1
ATCC_14019_01305,ppa,Inorganic pyrophosphatase,ATCC_14019,GS1,C1
ATCC_14019_01310,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",ATCC_14019,GS1,C1
ATCC_14019_01314,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,ATCC_14019,GS1,C1
GED7760B_00032,pflB,Formate acetyltransferase 1,GED7760B,GS11,C2
GED7760B_00059,thrS,Threonine--tRNA ligase,GED7760B,GS11,C2
GED7760B_00080,dapL,LL-diaminopimelate aminotransferase,GED7760B,GS11,C2
GED7760B_00093,pyrG,CTP synthase,GED7760B,GS11,C2
GED7760B_00181,ychF,Ribosome-binding ATPase YchF,GED7760B,GS11,C2
GED7760B_00191,eno,Enolase,GED7760B,GS11,C2
GED7760B_00210,rpoB,DNA-directed RNA polymerase subunit beta,GED7760B,GS11,C2
